ID,MISSION_ID,MISSION_NAME,PARENT_SITE_ID,DISPLAY_NAME,VEHICLE_NAME,KIND,SOURCE_KIND,STATUS,LATITUDE_DEGREES,LONGITUDE_EAST_DEGREES,COORDINATE_UNCERTAINTY_M,RADIAL_DISTANCE_M,ARRIVAL_DATE,LOCATION_QUALITY,COORDINATE_SOURCE,RADIUS_SOURCE,COSPAR_ID,GCAT_ID,OWNER,COUNTRY,REFERENCES,DISPLAY_RANK,SITE_REPRESENTATIVE,CREWED_MISSION
ranger-6-ranger-6,ranger-6,Ranger 6,ranger-6-site-01,Ranger 6,Ranger 6,impact_site,Spacecraft impact site,impacted,9.3864,21.4806,4.4,1735404.46,1964-02-02,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1964-007A,D00044,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.pss.2016.01.002 | https://planet4589.org/space/gcat/root.html,5,1,0
ranger-7-ranger-7,ranger-7,Ranger 7,ranger-7-site-01,Ranger 7,Ranger 7,impact_site,Spacecraft impact site,impacted,-10.634,-20.677,4.8,1735606.8,1964-07-31,confirmed,Averaged NACs,SLDEM,1964-041A,D00050,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.pss.2016.01.002 | https://planet4589.org/space/gcat/root.html,5,1,0
ranger-8-ranger-8,ranger-8,Ranger 8,ranger-8-site-01,Ranger 8,Ranger 8,impact_site,Spacecraft impact site,impacted,2.6377,24.788,4.6,1735241.5,1965-02-20,confirmed,Averaged Mapping Orbit NACs,SLDEM,1965-010A,D00061,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.pss.2016.01.002 | https://planet4589.org/space/gcat/root.html,5,1,0
ranger-9-ranger-9,ranger-9,Ranger 9,ranger-9-site-01,Ranger 9,Ranger 9,impact_site,Spacecraft impact site,impacted,-12.8281,-2.3884,5.8,1735869.14,1965-03-24,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1965-023A,D00063,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.pss.2016.01.002 | https://planet4589.org/space/gcat/root.html,5,1,0
surveyor-1-surveyor-1,surveyor-1,Surveyor 1,surveyor-1-site-01,Surveyor 1,Surveyor 1,lander,Lander,landed,-2.4745,-43.3398,5.4,1735514.3,1966-05-30,confirmed,Averaged NACs,SLDEM,1966-045A,D00110,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,0,1,0
surveyor-3-surveyor-3,surveyor-3,Surveyor 3,surveyor-3-site-01,Surveyor 3,Surveyor 3,lander,Lander,landed,-3.0162,-23.418,2.6,1735967.44,1967-04-20,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1967-035A,D00150,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,0,1,0
surveyor-3-s3-retrorocket,surveyor-3,Surveyor 3,surveyor-3-site-01,S3 Retrorocket,,rocket_stage,Retrorocket module impact,impacted,-3.0086,-23.4184,10,1735979.35,1967-04-20,confirmed,NAC DTM,NAC DTM,1967-035A,D00150,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://www.lpi.usra.edu/meetings/lpsc2010/pdf/1116.pdf; https://www.hou.usra.edu/meetings/lpsc2016/pdf/1025.pdf | https://planet4589.org/space/gcat/root.html,6,0,0
surveyor-5-surveyor-5,surveyor-5,Surveyor 5,surveyor-5-site-01,Surveyor 5,Surveyor 5,lander,Lander,landed,1.4551,23.1942,9.4,1735352.1,1967-09-11,confirmed,Averaged NACs,SLDEM,1967-084A,D00180,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,0,1,0
surveyor-5-s5-retrorocket,surveyor-5,Surveyor 5,surveyor-5-site-01,S5 Retrorocket,,rocket_stage,Retrorocket module impact,impacted,1.4464,23.1982,7.5,1735352,1967-09-11,confirmed,Averaged NACs,SLDEM,1967-084A,D00180,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://www.hou.usra.edu/meetings/lpsc2016/pdf/1025.pdf; https://www.planetary.org/articles/0915-finding-the-surveyor-retro-rockets-on-the-moon | https://planet4589.org/space/gcat/root.html,6,0,0
surveyor-6-surveyor-6,surveyor-6,Surveyor 6,surveyor-6-site-01,Surveyor 6,Surveyor 6,lander,Lander,landed,0.4743,-1.4275,6.6,1736634.3,1967-11-10,confirmed,Averaged NACs,SLDEM,1967-112A,D00182,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,0,1,0
surveyor-6-s6-retrorocket,surveyor-6,Surveyor 6,surveyor-6-site-01,S6 Retrorocket,,rocket_stage,Retrorocket module impact,impacted,0.4862,-1.4187,6.5,1736637.9,1967-11-10,confirmed,Averaged NACs,SLDEM,1967-112A,D00182,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://www.hou.usra.edu/meetings/lpsc2016/pdf/1025.pdf; https://www.planetary.org/articles/0915-finding-the-surveyor-retro-rockets-on-the-moon | https://planet4589.org/space/gcat/root.html,6,0,0
surveyor-7-surveyor-7,surveyor-7,Surveyor 7,surveyor-7-site-01,Surveyor 7,Surveyor 7,lander,Lander,landed,-40.9811,-11.5127,2.7,1737472.544,1968-01-10,confirmed,Averaged Mapping Orbit NACs,NAC DTM,1968-001A,D00190,JPL,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,0,1,0
apollo-11-a11-lm,apollo-11,Apollo 11,apollo-11-site-01,A11 LM,Eagle,crewed_artifact,"Descent stage of Lunar Module ""Eagle""",deployed,0.67416,23.47314,0.3,1735473.711,1969-07-20,confirmed,Averaged Mapping Orbit NACs + Laser Ranging,NAC DTM + Laser Ranging,1969-059C,D00274,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,1,1,1
apollo-11-a11-lrrr,apollo-11,Apollo 11,apollo-11-site-01,A11 LRRR,,retroreflector,Retroreflector,deployed,0.6734487,23.47307,0,1735472.352,1969-07-20,confirmed,Laser Ranging,Laser Ranging,1969-059C,D00274,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://naif.jpl.nasa.gov/pub/naif/generic_kernels/spk/planets/de430_moon_coord.pdf | https://planet4589.org/space/gcat/root.html,3,0,1
apollo-11-a11-pse,apollo-11,Apollo 11,apollo-11-site-01,A11 PSE,,deployed_instrument,Passive Seismic Experiment,deployed,0.67322,23.47315,0.4,1735472.414,1969-07-20,confirmed,Averaged Mapping Orbit NACs + Laser Ranging,NAC DTM + Laser Ranging,1969-059C,D00274,MSC,US,https://data.lroc.im-ldi.com/lroc/view_rdr/SHAPEFILE_ANTHROPOGENIC_OBJECTS | https://doi.org/10.1016/j.icarus.2016.05.011 | https://planet4589.org/space/gcat/root.html,4,0,1
